repo,level_1,2.1,3.2,3.5,4.2,5.3,6.1,6.2
lightfm,0.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0
lightfm,0.5,0.0,30.0,0.0,11.0,29.0,5.0,1.0
lightfm,1.0,30.0,0.0,0.0,19.0,0.0,25.0,29.0
magenta,0.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0
magenta,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
magenta,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmf,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0
mmf,0.5,0.0,21.0,16.0,26.0,12.0,3.0,8.0
mmf,1.0,30.0,9.0,0.0,0.0,18.0,27.0,22.0
nanodet,0.0,0.0,15.0,30.0,30.0,0.0,12.0,28.0
nanodet,0.5,0.0,15.0,0.0,0.0,0.0,18.0,2.0
nanodet,1.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0
qlib,0.0,0.0,0.0,23.0,3.0,1.0,2.0,0.0
qlib,0.5,0.0,14.0,7.0,25.0,25.0,18.0,24.0
qlib,1.0,30.0,16.0,0.0,2.0,4.0,10.0,6.0
